word_chinese_traditional,aoa_mean,familiar_mean,imagine_mean,concrete_mean,semantic_radical_trans_mean,frequency_log,number_stroke,number_word_forms,number_homophones,number_meanings,aoa_raw,familiar_raw,imagine_raw,concrete_raw,semantic_radical_trans_raw
試,3.19047619,6.85,3.136363636,3.4,4.473684211,2.766386037,13,22,6,6,3.19047619,6.85,3.090909091,3.4,4.473684211
附,4.65,6.4,2.772727273,3.45,2.526315789,2.291246689,8,8,8,3,4.409090909,6.4,2.791666667,3.45,2.526315789
檳,5.285714286,5.3,3.727272727,3.45,5.052631579,1.042626333,18,3,6,NA,5.285714286,5.3,3.727272727,3.45,5.052631579
攤,4.5,6.315789474,5.090909091,4.45,5.210526316,1.662961559,22,6,3,7,4.333333333,6.15,4.956521739,4.45,5.210526316
楊,3.619047619,6.5,3.045454545,2.15,5.833333333,2.264706365,13,7,7,4,3.619047619,6.5,3.086956522,2.15,5.631578947
湯,2.428571429,6.833333333,5.454545455,5.85,6.368421053,2.175639143,12,9,1,2,2.454545455,6.55,5.409090909,5.85,6.368421053
訊,4.25,6.684210526,3.227272727,2.75,5.666666667,2.816356125,10,4,6,5,4.095238095,6.55,3.045454545,2.75,5.473684211
穩,4.25,6.578947368,3.636363636,3.4,2.842105263,2.380000978,19,9,1,4,4.090909091,6.45,3.545454545,3.4,2.842105263
缺,3.857142857,6.578947368,3.181818182,3.95,2.789473684,2.319549689,10,17,6,4,3.857142857,6.3,3.136363636,3.95,2.789473684
脹,4.238095238,6.526315789,4.318181818,4.9,4.526315789,1.706343226,12,2,7,NA,4.238095238,6.4,4.181818182,4.9,4.526315789
僅,4.476190476,6.4,1.380952381,1.7895,3.210526316,2.486088219,13,3,4,2,4.476190476,6.4,1.636363636,2,3.210526316
峙,5.904761905,4.8,3.318181818,2.7,4.473684211,1.1435140049999999,9,5,10,NA,5.904761905,4.8,3.227272727,2.7,4.473684211
驅,4.80952381,5.9,3.954545455,4.15,5.157894737,1.796633889,21,4,6,5,4.80952381,5.9,4,4.15,5.157894737
