word_german,valence_mean,valence_sd,arousal_mean,arousal_sd,concrete_mean,concrete_sd,frequency,length,syllables,valence_mean_female,valence_sd_female,arousal_mean_female,arousal_sd_female,concrete_mean_female,concrete_sd_female,valence_mean_male,valence_sd_mean,arousal_mean_male,arousal_sd_mean,concrete_mean_male,concrete_sd_male
Balken,5.079365,0.679221,2.269841,1.724644,1.868853,1.359846,13,6,2,5.125,0.707107,2.34375,1.911078,1.9375,1.435439,5.032258,0.657463,2.193548,1.536649,1.793103,1.292266
Balkon,5.765625,2.150985,3.142857,1.949832,1.873016,1.486412,12,6,2,5.727273,2.388419,3.5,2.214323,1.90625,1.613639,5.806452,1.90472,2.774194,1.585553,1.83871,1.368619
Ball,5.578125,1.520283,2.921875,2.198879,1.349206,0.918602,9,4,1,5.090909,1.331438,2.606061,2.149701,1.15625,0.447889,6.096774,1.55681,3.258065,2.235587,1.548387,1.206613
Balsam,6.15873,1.944441,4.34375,2.365216,4.225807,2.81343,14,6,2,6.125,2.254029,4.727273,2.362106,4.40625,2.971471,6.193548,1.600403,3.935484,2.33717,4.033333,2.671476
Bambus,5.578125,1.434326,3,2.024441,1.516129,0.882284,15,6,2,5.454546,1.3484,3.4375,2.25671,1.5,0.983739,5.709677,1.531743,2.533333,1.655364,1.533333,0.776079
Bankrott,3.063492,2.614309,5.1875,2.724813,6.16129,2.920777,13,8,2,3.25,2.816999,4.69697,2.78932,6.90625,2.569792,2.870968,2.418566,5.709677,2.597352,5.366667,3.101538
Bar,5.888889,2.072174,3.873016,2.43954,2.698413,2.060652,11,3,1,5.545455,2.047726,3.875,2.459347,2.6875,2.131749,6.266667,2.066704,3.870968,2.459566,2.709677,2.019795
Basar,5.3125,1.390158,3.983607,2.452834,2.758065,1.705204,13,5,2,5.393939,1.344884,4.16129,2.5573,2.774194,1.764647,5.225807,1.453953,3.8,2.369344,2.741936,1.672677
Bastard,3.396825,2.492179,6.126984,2.324429,5.634921,2.64149,15,7,2,3.121212,2.484421,5.969697,2.35166,6.125,2.419677,3.7,2.507231,6.3,2.321563,5.129032,2.801689
Bastler,5.515625,1.272321,2.65625,1.827643,3.741936,2.598458,15,7,2,5.363636,1.245446,2.909091,2.170306,4.290323,2.710394,5.677419,1.300951,2.387097,1.358367,3.193548,2.400269
Bauch,5.375,1.27864,4,2.383808,2.095238,1.444838,11,5,1,5.515152,1.253027,3.666667,2.086664,2,1.367833,5.225807,1.30919,4.354839,2.652651,2.193548,1.536649
Bauer,5.140625,0.92354,2.377049,1.674952,3.016129,2.315252,10,5,2,5.090909,0.84275,2.580645,1.839822,3.3125,2.507248,5.193548,1.013882,2.166667,1.487496,2.7,2.086905
Baum,5.5625,1.798368,2.444444,1.838458,1.460318,0.876676,10,4,1,5.727273,2.004257,2.75,2.24327,1.4375,0.913607,5.387097,1.563701,2.129032,1.258092,1.483871,0.851311
Becher,4.96875,0.689346,1.645161,1.505147,1.412698,1.010189,12,6,2,4.878788,0.696311,1.741936,1.879144,1.40625,0.837021,5.064516,0.679975,1.548387,1.027577,1.419355,1.176837
Becken,5.421875,1.44535,2.714286,2.01949,2.274194,1.738375,12,6,2,5.090909,1.307757,2.34375,1.927883,1.9375,1.366359,5.774194,1.521177,3.096774,2.071309,2.633333,2.025413
Beet,5.359375,1.226263,2.180328,1.736934,1.777778,1.113617,16,4,1,5.393939,1.273268,2.354839,2.106314,1.71875,1.084625,5.322581,1.194071,2,1.259447,1.83871,1.157491
Befund,4.8125,1.245627,3.190476,2.093439,5.629032,2.5877,13,6,2,4.909091,1.465513,3.28125,2.113465,5.8125,2.507248,4.709677,0.972747,3.096774,2.103249,5.433333,2.699723
Beifall,6.403226,2.02816,5.484375,2.519714,5.306452,2.731652,10,7,2,6.40625,2.107734,5.151515,2.526376,5.6875,2.752565,6.4,1.975715,5.83871,2.504619,4.9,2.695462
Bein,5.28125,0.765709,2.873016,2.136413,1.354839,0.629774,11,4,1,5.151515,0.712444,2.75,2.355502,1.375,0.659912,5.419355,0.807225,3,1.914854,1.333333,0.606478
Beispiel,5.25,0.776643,2.370968,2.001916,6.064516,2.839251,9,8,2,5.121212,0.780928,2.322581,2.211894,6.9375,2.18407,5.387097,0.760588,2.419355,1.803223,5.133333,3.181123
