word_chinese_simplified,translate_word_english,valence_mean,valence_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,concrete_mean,concrete_sd,imagine_mean,imagine_sd,frequency_words_per_million,frequency_log,frequency_zipf,strokes_1st_character_n,strokes_2nd_character_n,strokes_total_n
兼職,part time,3.38,0.8,2.31,1.12,4.54,0.66,4.38,0.7,4.54,0.59,5.72,2.28,3.36,10,18,28
設想,envisaged,3.73,0.92,2.24,1.05,3.96,1.08,2.35,1.32,2.44,1.08,5.69,2.28,3.36,11,13,24
重力,gravity,2.95,0.21,2.12,1.21,3.88,1.34,2.77,1.53,2.77,1.31,5.69,2.28,3.36,9,2,11
議案,motion,2.92,0.57,2.73,1.12,3.76,0.88,3.77,1.14,4.12,0.99,5.66,2.28,3.36,20,10,30
歲月,time,3.27,1.04,2.58,1.21,4.29,0.86,2.88,1.4,3.27,1.19,5.57,2.27,3.36,13,4,17
專長,expertise,4.27,0.67,2.69,1.19,4.5,0.51,3.42,1.27,3.88,0.99,5.54,2.27,3.36,11,8,19
領地,dominion,3.08,0.58,3.08,1.32,3.4,1.22,4.08,1.22,3.96,1.17,5.54,2.27,3.36,14,6,20
暗號,cipher,2.88,0.91,2.58,1.17,3.92,1.06,3.64,1.35,3.62,1.27,5.54,2.27,3.36,13,13,26
效率,efficiency,3.92,0.63,2.84,1.21,4.5,0.59,3.08,1.23,3.08,1.06,5.51,2.27,3.36,10,11,21
教養,upbringing,4.32,0.69,2.2,0.87,4.46,0.59,2.77,1.27,3.15,1.26,5.43,2.26,3.35,11,15,26
路程,journey,3.27,0.72,2,0.98,4.19,0.94,3.35,1.38,4.04,1.11,5.43,2.26,3.35,13,12,25
信用,trust,3.92,0.93,2.96,1.18,4.44,0.58,2.69,1.29,2.92,1.35,5.4,2.26,3.35,9,5,14
天性,inborn,3.48,0.82,2.04,1.18,3.68,1.35,2.44,1.04,2.68,1.22,5.4,2.26,3.35,4,8,12
特質,attribute,3.92,0.76,2.35,0.98,4.42,0.64,3,1.26,3,1.22,5.34,2.25,3.35,10,15,25
出身,origin,3.28,0.74,2.54,0.99,4.04,1.04,2.96,1.34,3.15,1.35,5.31,2.25,3.35,5,7,12
身手,skill,3.73,0.78,2.88,1.18,3.96,1.06,3.08,1.35,3.62,1.3,5.22,2.24,3.35,7,4,11
差錯,mistake,1.56,0.65,3.69,1.09,4.08,1.04,3.04,1.34,3.16,1.11,5.22,2.24,3.35,10,16,26
職務,duties,3.04,0.45,2.35,1.2,4.63,0.49,4.16,0.75,4.24,0.88,5.22,2.24,3.35,18,11,29
視野,vision,3.65,0.89,2.31,1.26,4.21,0.83,2.73,1.37,3.27,1.31,5.22,2.24,3.35,12,11,23
