word_portuguese,translate_word_english,cgram,familiar_mean,concrete_mean,imagine_mean,aoa_mean,aoa_sd,length,silo_n,phonemes,silphom_n,ond,oup,phoneme_density,phonome_up,frequency,frequency_log
Resto,rest,no,NA,NA,NA,4.14,2.04,5,2,5,2,8,5,8,5,2728,3.32
Risco,risk,no,NA,NA,NA,5.12,1.8,5,2,5,2,9,5,8,5,2377,3.44
Roda,wheel,no,NA,NA,NA,2.29,1.26,4,2,4,2,11,4,9,4,1015,3.38
Rosto,face,no,NA,NA,NA,4.05,1.75,5,2,5,2,6,4,7,4,1583,3.01
Roupa,clothing,no,NA,NA,NA,3.58,1.43,5,2,4,2,1,5,8,4,1185,3.2
Rua,road,no,NA,NA,NA,2.57,1.24,3,2,3,2,7,3,6,3,3961,3.07
Santo,saint,no,NA,NA,NA,3.71,1.44,5,2,4,2,4,5,7,4,996,3.6
Sede,headquarters,no,NA,NA,NA,2.35,1.3,4,2,4,2,4,4,4,4,1247,3
Sessão,session,no,NA,NA,NA,5.74,1.65,6,2,5,2,1,5,4,5,1634,3.1
Série,series,no,NA,NA,NA,5.66,1.6,5,2,5,2,1,5,3,5,2509,3.21
Sinal,sign,no,NA,NA,NA,4.3,1.97,5,2,5,2,2,5,1,5,2451,3.4
Sítio,place,no,NA,NA,NA,3.44,1.51,5,2,5,2,1,3,4,5,1406,3.39
Sonho,dream,no,NA,NA,NA,3.3,1.5,5,2,4,2,2,5,5,3,1779,3.15
Sopa,soup,no,1.53,6.28,6.19,1.72,1.24,4,2,4,2,8,4,6,4,1256,3.25
Sorte,luck,no,NA,NA,NA,3.73,1.36,5,2,5,2,5,5,5,4,1178,3.1
Tarde,afternoon,no,NA,NA,NA,2.53,1,5,2,5,2,0,5,0,4,3666,3.07
Tempo,time,no,NA,NA,NA,3.2,1.46,5,2,4,2,3,5,8,4,17878,3.56
Tensão,tension,no,NA,NA,NA,6.72,1.5,6,2,5,2,4,5,7,4,1776,4.25
Termo,end,no,NA,NA,NA,7.94,1,5,2,5,2,3,5,2,5,4317,3.25
Terra,earth,no,NA,NA,NA,3.5,1.91,5,2,4,2,5,5,7,4,6585,3.64
Tiro,shot,no,NA,NA,NA,3.2,1.36,4,2,4,2,9,4,9,4,885,3.82
Treino,training,no,NA,NA,NA,5.13,1.38,6,2,6,2,2,6,0,6,1017,2.95
Vale,valley,no,2.4,5.22,4.31,5,1.88,4,2,4,2,4,4,3,4,1368,3.01
Valor,value,no,3.17,2.1,2.27,5,1.7,5,2,5,2,3,5,3,4,7691,3.14
Verão,summer,no,NA,NA,NA,3.54,1.84,5,2,5,2,6,4,4,4,1439,3.89
Verba,summer,no,NA,NA,NA,8.42,1.11,5,2,5,2,3,5,1,5,881,3.16
Verbo,verb,no,NA,NA,NA,4.88,1.36,5,2,5,2,3,5,2,5,138,2.95
Via,way,no,NA,NA,NA,6.3,1.52,3,2,3,2,14,3,12,3,2793,2.14
Vida,life,no,NA,NA,NA,3.35,1.56,4,2,4,2,11,4,13,4,13495,3.45
Vidro,glass,no,NA,NA,NA,3.38,1.69,5,2,5,2,2,5,2,5,934,4.13
Vinho,wine,no,NA,NA,NA,3.76,1.53,5,2,4,2,6,5,8,4,2320,2.97
Vista,view,no,NA,NA,NA,3.82,1.24,5,2,5,2,4,5,3,5,3922,3.37
Volta,return,no,NA,NA,NA,3.92,1.78,5,2,5,2,3,5,3,5,4461,3.59
Voto,vote,no,NA,NA,NA,6.33,1.44,4,2,4,2,9,4,5,3,2085,3.65
Ácido,acid,no,NA,NA,NA,6.37,1.87,5,3,5,3,2,3,2,3,235,3.32
Adulto,adult,no,NA,NA,NA,3.73,1.76,6,3,6,3,1,6,2,6,584,2.37
Afecto,affection,no,NA,NA,NA,5.26,1.82,6,3,5,3,1,6,3,5,208,2.77
Agência,agency,no,NA,NA,NA,6.46,1.46,7,3,6,3,0,3,0,6,947,2.32
Agosto,august,no,NA,NA,NA,3.38,1.11,6,3,6,3,2,4,2,4,2688,2.98
Ajuda,help,no,NA,NA,NA,3.4,1.48,5,3,5,3,1,5,2,5,1233,3.43
Álcool,alcohol,no,NA,NA,NA,5.5,1.84,6,3,6,2,0,3,0,6,563,3.09
Aldeia,village,no,NA,NA,NA,3.24,1.7,6,3,6,3,1,5,1,4,1949,2.75
Alívio,relief,no,NA,NA,NA,6.13,1.51,6,3,6,3,1,4,1,6,234,3.29
Almoço,lunch,no,1.5,NA,NA,2.9,1.43,6,3,6,3,0,6,0,4,871,2.37
Alvará,permit,no,NA,NA,NA,8.32,0.98,6,3,6,3,1,6,0,5,119,2.94
Amador,amateur,no,NA,NA,NA,5.88,1.51,6,3,6,3,1,6,2,5,383,2.08
Amante,lover,no,NA,NA,NA,6.86,1.48,6,3,5,3,1,6,0,5,524,2.58
Ambição,ambition,no,NA,NA,NA,6.18,1.62,7,3,6,3,0,5,0,5,545,2.72
Âmbito,scope,no,NA,NA,NA,7.98,0.88,6,3,5,3,0,4,2,4,1569,2.74
Amigo,friend,no,NA,NA,NA,2.74,1.26,5,3,5,3,2,5,3,5,4182,3.2
Anexo,attachment,no,NA,NA,NA,7.43,1.36,5,3,6,3,2,5,1,6,160,3.62
Angústia,anguish,no,NA,NA,NA,7.88,0.92,8,3,7,3,0,4,0,7,444,2.21
Animal,animal,no,NA,NA,NA,2.27,1.14,6,3,6,3,1,6,1,6,2302,2.65
Ânimo,soul,no,NA,NA,NA,6.9,1.43,5,3,5,3,0,3,1,5,312,3.36
Apelo,appeal,no,NA,NA,NA,7.05,1.48,5,3,5,3,4,5,2,4,784,2.5
Aplauso,applause,no,NA,NA,NA,5.6,1.6,7,3,7,3,0,6,0,6,172,2.89
Árbitro,referee,no,1.93,NA,NA,5.49,1.45,7,3,7,3,0,3,0,3,1373,2.24
