word_portuguese,translate_word_english,imagine_mean,imagine_sd,concrete_mean,concrete_sd,frequency_s_mean,frequency_s_sd,length,syllables,syllabic_structure,pos,wordform_per_million_frequency,wordform_per_million_frequency_log10,frequency_zipf,orthographic_neighborhood_size,orthographic_levenshtein_distance
conjunto,set,3.73,1.7,3.73,1.68,5.48,1.28,8,3,CVC.CVC.CV,"ADJ,N",211.052,2.326,5.324,1,2.05
conquista,conquer,4.34,1.81,3.54,1.85,3.98,1.29,9,3,CVC.CVVC.CV,"N,V",34.881,1.555,4.543,1,1.8
consciência,consciousness,3.08,2.07,2.93,1.84,5.34,1.1,11,4,CVCC.CV.VC.CVV,N,70.789,1.856,4.85,0,2.85
conselho,advice,3.42,1.92,3.54,1.88,5.07,1.46,8,3,CVC.CV.CCV,N,121.494,2.088,5.085,1,1.9
consenso,consensus,2.89,1.68,3.02,1.95,4.37,1.4,8,3,CVC.CVC.CV,N,41.569,1.629,4.619,1,1.9
consequência,consequence,2.85,1.7,2.78,1.49,5.14,1.36,12,4,CVC.CV.CVVC.CVV,N,59.704,1.783,4.776,0,3.3
consideração,consideration,3.23,1.94,2.91,1.73,4.95,1.33,12,5,CVC.CV.CV.CV.CVV,N,20.025,1.323,4.302,1,2.65
considerável,considerable,2.89,1.45,2.64,1.41,4.62,1.42,12,5,CVC.CV.CV.CV.CVC,ADJ,16.166,1.235,4.209,0,3.15
consolado,consoled,3.28,1.98,3.26,1.85,3.72,1.58,9,4,CVC.CV.CV.CV,V,0.43,0.155,2.633,3,1.7
constituição,constitution,3.5,1.95,3.55,1.73,4.09,1.27,12,5,CVCC.CV.CV.V.CVV,N,92.035,1.969,4.964,1,2.75
construção,construction,4.87,1.64,4.9,1.57,4.56,1.46,10,3,CVCC.CCV.CVV,N,294.909,2.471,5.47,1,2.4
construtor,builder,5.36,1.75,5.38,1.6,3.82,1.47,10,3,CVCC.CCV.CVC,"ADJ,N",14.456,1.189,4.16,0,2.45
consulado,consulate,3.03,1.67,4.07,2.06,2.96,1.06,9,4,CVC.CV.CV.CV,N,9.536,1.023,3.979,2,1.8
consulta,appointment,4.23,1.88,4.45,1.8,4.93,1.57,8,3,CVC.CVC.CV,"N,V",37.573,1.586,4.575,2,1.7
consultório,office,5.98,1.06,5.89,1.23,4.16,1.39,11,4,CVC.CVC.CV.CVV,N,3.307,0.634,3.52,0,2.7
consumo,consumption,3.83,1.87,3.39,1.76,5.61,1.24,7,3,CVC.CV.CV,"N,V",90.399,1.961,4.956,3,1.75
conta,account,4,2.02,4.12,1.82,5.82,1.05,5,2,CVC.CV,"N,V",321.984,2.509,5.508,14,1
contacto,contact,3.88,2.14,3.64,1.67,5.6,1.45,8,3,CVC.CVC.CV,"N,V",65.371,1.822,4.815,3,1.7
contagem,count,3.43,1.72,4.11,1.74,4.53,1.37,8,3,CVC.CV.CVC,N,15.667,1.222,4.195,3,1.75
contaminação,contamination,3.59,1.88,3.91,1.65,3.7,1.56,12,5,CVC.CV.CV.CV.CVV,N,11.07,1.082,4.044,1,2.75
contenda,strife,2.45,1.27,2.78,1.71,2.19,1.09,8,3,CVC.CVC.CV,"N,V",3.195,0.623,3.505,6,1.55
contente,glad,4.98,1.77,4.02,1.86,5.95,1.04,8,3,CVC.CVC.CV,"ADJ,V",16.185,1.235,4.209,5,1.6
contestação,refutation,3.56,1.86,3.09,1.32,3.4,1.5,11,4,CVC.CVC.CV.CVV,N,32.834,1.529,4.516,1,2.55
conteúdo,contents,3.75,1.74,3.29,1.87,5.55,1.24,8,4,CVC.CV.V.CV,N,41.345,1.627,4.616,2,1.85
contexto,context,3.23,2.01,3.17,1.67,5.09,1.26,8,3,CVC.CVC.CV,N,50.725,1.714,4.705,2,1.85
continência,salute,3.8,2.03,4.1,1.9,2.8,1.24,11,4,CVC.CV.CVC.CVV,N,0.562,0.194,2.75,0,2.5
continente,continent,5.69,1.31,5.93,1.14,4.88,1.39,10,4,CVC.CV.CVC.CV,"ADJ,N",46.865,1.68,4.671,0,2.1
continuação,follow-up,3.15,1.78,3.1,1.75,5.39,1.47,11,5,CVC.CV.CV.V.CVV,N,27.768,1.459,4.444,1,2.75
conto,tale,4.38,1.69,3.74,1.82,4.41,1.82,5,2,CVC.CV,"N,V",15.824,1.226,4.199,12,1.2
contorno,outline,3.6,1.92,3.88,1.87,3.74,1.19,8,3,CVC.CVC.CV,"N,V",1.91,0.464,3.281,3,1.75
contradição,contradiction,3.03,1.71,2.91,1.37,4.33,1.38,11,4,CVC.CCV.CV.CVV,N,13.244,1.154,4.122,0,2.7
contrário,contrary,3.44,1.89,3.14,1.85,5.38,1.38,9,3,CVC.CCV.CVV,"ADJ,N",192.576,2.287,5.285,2,2.35
contraste,contrast,3.97,1.86,3.49,1.66,3.88,1.42,9,3,CVC.CCVC.CV,"N,V",15.687,1.222,4.196,3,1.6
contratação,hiring,3.52,1.84,3.76,1.63,4.22,1.51,11,4,CVC.CCV.CV.CVV,N,20.646,1.335,4.315,1,2.3
contratempo,setback,2.84,1.53,3.39,1.85,4.4,1.39,11,4,CVC.CCV.CVC.CV,N,1.69,0.43,3.228,0,2.8
contrato,contract,4.63,1.92,5.45,1.45,4.14,1.37,8,3,CVC.CCV.CV,"ADJ,N,V",111.733,2.052,5.048,3,1.6
