word_italian,translate_word_english,aoa_mean,aoa_sd,familiar_mean,familiar_sd,imagine_mean,imagine_sd,concrete_mean,concrete_sd,frequency_ilc_adult_written,frequency_colfis_adult_written,frequency_totfq_child_written,frequency_compfq_child_written,frequency_prodfq_child_written,frequency_spkfq_adult_spoken,n,bigram,syllables,length,phonome_stress,phoneme_voice,mann,voiced,stop,nasal,fricative,affricate,liquid,bilabial,labiodental,dental,alveolar,palatal,velar,vowel,rt_mean
calamita,magnet,3.8,1.05,5.77,1.57,5.52,1.62,6.41,0.82,2,9,0,0,0,1,1,11.15,4,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,562
calcagno,heel,5.02,1.41,4.36,1.87,5.18,1.85,6.55,0.98,3,5,0,0,0,0,0,10.7,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,564
calvario,ordeal,5.36,1.38,4.32,1.84,3.02,1.85,4.52,2.43,13,25,0,0,0,1,0,10.88,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,529
camino,fireplace,2.89,0.84,6.36,0.94,6.25,1.16,6.64,0.72,22,27,57,29,28,0,5,11.25,3,6,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,530
cammello,camel,3.16,1.08,6.16,1.36,5.93,1.47,5.89,1.77,9,12,10,8,2,0,0,10.86,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,537
camomilla,camomile,2.8,1.02,6.64,0.72,5.7,1.52,5.48,1.7,3,6,0,0,0,0,0,11,4,9,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,552
canapa,hemp,5.3,1.29,4.36,1.94,3.82,1.87,6.64,0.89,14,1,0,0,0,0,0,11.06,3,6,ap,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,550
candela,candle,2.93,0.7,6.59,0.87,6.3,0.95,6.8,0.46,35,43,49,23,26,1,0,11.35,3,7,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,534
cane,dog,1.66,0.68,6.98,0.15,6.57,1.07,7,0,177,174,1350,290,1060,39,1,11.55,2,4,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,496
canguro,kangaroo,2.93,0.87,6.11,1.45,6.2,1.11,4.8,2.58,4,8,14,5,9,0,0,10.69,3,7,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,542
cantiere,building site,5.07,1.25,6.02,0.82,4.57,1.87,3.98,2.23,15,65,7,4,3,25,0,11.37,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,544
canzone,song,2.5,0.9,6.86,0.51,5.02,1.84,5.52,1.72,64,171,178,92,86,30,1,10.88,3,7,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,506
caparra,deposit,6.32,1.14,4.23,1.85,2.61,1.56,3.14,1.76,3,17,0,0,0,0,0,10.89,3,7,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,595
capra,goat,2.86,0.8,6.27,1.28,5.8,1.5,6.41,1.26,18,28,58,20,38,10,1,11.1,2,5,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,517
capriccio,whim,2.68,1.34,5.68,1.41,3.27,1.85,4.39,2.41,20,22,16,3,13,4,0,10.87,3,9,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,539
