word_galician,translate_word_english,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,aoa_mean,aoa_sd,aoa_n
atractivo,attractive,8.076923076923077,0.9540735874430278,13,7.25,1.815338686155987,12,2.727272727272727,2.0538212722098823,11,8.166666666666666,1.2673044646258462,12,8.142857142857142,3.7592377062202553,14
atraso,delay,3.3076923076923075,2.1750331562459526,13,5.785714285714286,2.4550911444328345,14,4.454545454545454,2.423371055519,11,4.714285714285714,2.30145677706606,14,6.571428571428571,2.4718191903717615,14
audiovisual,audiovisual,6.142857142857143,2.3812454032143906,14,5.928571428571429,2.36852065853142,14,4.6923076923076925,2.8102376941169758,13,5.666666666666667,3.1622776601683795,9,11.071428571428571,2.368520658531418,14
auga,water,7.428571428571429,1.4525460784051263,14,5.090909090909091,2.8090761988435085,11,7.2,2.5464113034456535,20,8.266666666666667,1.6676187756655851,15,2.642857142857143,1.0818177620697813,14
aula,classroom,5.285714285714286,2.12778582744423,14,7.142857142857143,1.8752289237539808,14,8.384615384615385,0.8697184926229049,13,8,3,9,5.615384615384615,3.905945500952395,14
aumento,increase,7.357142857142857,1.9848325973644316,14,7,1.378404875209022,21,4.666666666666667,1.7752507291971895,12,5.285714285714286,2.3996336716761073,14,7.857142857142857,2.797172827012271,14
ausencia,absence,3.5714285714285716,2.471819190371761,14,6.214285714285714,2.423556554658128,14,3.5238095238095237,2.5810665938531616,21,5,3.567530340063379,12,9.692307692307692,3.1985573671218135,14
auténtico,authentic,6.642857142857143,2.619663597227201,14,4.285714285714286,2.4629117048595273,14,3.380952380952381,1.6575943555704598,21,4.833333333333333,2.4802248187442912,12,8.5,1.8292495308606331,14
auto,car,6.384615384615385,1.9381460874790264,13,5.714285714285714,1.7728105208558362,14,7.636363636363637,1.5666989036012793,11,6.642857142857143,2.619663597227201,14,6.571428571428571,3.1553199451155436,14
autobús,bus,6,1.6832508230603465,13,5.666666666666667,1.9364916731037085,9,7.714285714285714,2.7012410660108253,14,7.785714285714286,2.3916062008157244,14,3.7142857142857144,1.3259870882635918,14
automóbil,automobile,6,1.8257418583505538,13,7.266666666666667,1.5796322658258444,15,8.166666666666666,1.3371158468430417,12,7.785714285714286,2.044827298653528,14,5.739130434782608,3.0334107911174812,23
autonomía,autonomy,7.384615384615385,1.9381460874790264,13,5.782608695652174,2.7626818613792063,23,5.714285714285714,1.9778998741311224,14,5.428571428571429,2.563479777846623,14,9.416666666666666,2.5390883594254263,12
autonómico,autonomous,5.5,2.441626192015981,14,6.833333333333333,1.898963034411308,12,4.333333333333333,2.7688746209726913,15,3.4285714285714284,1.5548576840284827,14,9.363636363636363,3.1250974010794867,23
autor,author,6.642857142857143,1.2774459408789587,14,5.357142857142857,1.9848325973644327,14,7.181818181818182,2.3159525823376357,11,6.3,2.5360557855395105,20,7.4,2.3844735867092948,15
autoridade,authority,3.9285714285714284,2.4640269015229057,14,7.75,1.2154310870109943,12,4.2,2.8081514000698546,15,6.071428571428571,2.464026901522906,14,7.7272727272727275,3.74397062185536,23
avance,advance,7.142857142857143,2.0701966780270618,14,5.75,2.8959218974902683,12,4.076923076923077,2.4651415936864716,13,3.9130434782608696,2.429235635081741,23,9.5,3.4137730085414515,14
ave,bird,6.166666666666667,1.8989630344113093,12,4.545454545454546,2.7699688216164584,11,7.416666666666667,2.0207259421636894,12,7.785714285714286,1.8050600428356285,14,5.769230769230769,2.9764029228204905,13
