word_spanish,translate_word_english,pos,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,availability_mean,availability_sd,availability_n,familiar_mean,familiar_sd,familiar_n
chalet,chalet,N,6.96,1.72,23,4.7,2.72,20,6.35,0.99,20,6.7,0.47,23,5.59,1.74,22,6.09,1.19,22
champán,champagne,N,6.45,1.84,22,5.3,2.25,20,6.59,0.59,22,6.82,0.5,22,6.04,1.4,24,5.71,1.79,21
champiñón,mushroom,N,5.43,0.87,21,3.95,1.39,20,6.65,1.14,20,6.9,0.3,21,5.91,1.63,22,5.55,1.67,20
chándal,tracksuit,N,4.75,1.65,20,3.65,2.01,20,5.62,1.36,21,6.91,0.29,22,6.23,1.45,22,6.4,0.75,20
chantajista,blackmailer,A N,2,1.08,20,6.65,1.35,20,5.48,1.44,23,2.96,1.72,23,2.68,1.84,22,5.18,1.33,22
charca,pond,N,5,0.98,22,3.5,1.6,22,6,1.38,21,6.05,1.21,22,4.36,1.97,22,4.95,1.75,21
cheque,paycheck,V N,7.65,1.04,20,7,1.95,22,5.73,1.32,22,6.7,0.57,20,5.83,1.61,23,5.2,1.32,20
chico,boy,A N,5.5,1.32,20,4.25,1.77,20,5,1.65,20,6.77,0.61,22,5.55,1.9,22,6.62,0.92,21
chillido,shriek,N,3,1.56,20,7.25,1.45,20,5.38,1.47,21,3.64,2.17,22,5.59,2.11,22,5.05,1.7,20
china,China,V N A,5.32,1.04,22,4.1,1.89,21,6.14,0.99,22,5.95,1.29,22,5.35,1.79,20,5.9,1.25,20
chocolate,chocolate,N,7.19,1.17,21,5.75,2,20,6.4,0.75,20,6.8,0.52,20,6.5,1,20,6.95,0.22,21
chófer,driver,N,5.2,0.77,20,3.25,1.86,20,6.55,0.67,22,6.41,0.73,22,5.5,1.79,22,4.9,2.05,20
chorizo,chorizo,V N,4.55,1.23,20,4.45,1.82,20,5.8,1.58,20,6.77,0.61,22,6.15,1.42,20,6.18,1.3,22
ciclo,cycle,N,5.2,1.15,20,4.32,1.76,22,2.77,1.77,22,3.52,2.11,21,4,2.63,23,5.05,1.47,20
ciclón,cyclone,N,3.14,1.2,21,6.29,1.38,21,5.5,1.73,20,5.2,1.77,20,4.45,2.33,20,4.05,1.68,22
ciempiés,centipede,N,4.43,1.29,21,4.77,2.07,22,6.65,1.14,20,6.68,0.57,22,3.85,2.25,20,5.43,1.94,21
científica,scientific,A N,7.25,1.45,20,4.75,1.92,20,4.38,1.66,21,5.41,2.02,22,5.5,1.41,22,6,0.97,20
cigarrillo,cigarette,N,3.36,2.38,22,4.55,2.24,20,6.95,0.22,21,6.9,0.45,20,6.09,1.8,22,6.24,0.7,21
cinturón,belt,N,4.65,1.09,26,3.65,1.73,20,5.9,1.51,21,6.9,0.31,20,6.05,1.89,22,6.74,0.54,23
circulación,circulation,N,5,1.54,23,4.91,2.41,22,3.71,1.06,21,4.18,1.82,22,5.73,1.75,22,5.1,1.26,21
círculo,circle,N,5.4,0.68,20,3.18,1.79,22,6.27,1.39,22,6.95,0.22,20,4.73,2.27,22,5.95,1.29,22
cirujano,surgeon,N,5.71,1.85,24,6.62,1.96,21,6.41,0.59,22,6.65,0.67,20,5.9,1.62,20,5.27,1.75,22
cisne,swan,N A,6.95,1.05,20,2.45,1.79,22,6.59,1.1,22,6.68,0.72,22,5.57,1.78,23,4.9,2.07,21
civilización,civilization,N,6.25,1.16,20,4.05,2.08,22,5.09,1.78,23,4.78,2.15,23,5.04,2.4,23,5.25,1.65,20
