word_chinese_simplified,word_pinyin,age_of_learning,aoa_mean,concrete_mean,familiar_mean,imagine_mean
斗,dou3,3,3.72,4.62,6.37,5.71
抖,dou3,4,4.23,5.38,6,5.96
豆,dou4,2,3.1,6.72,6.84,6.61
逗,dou4,2,3.79,4.85,6.42,5.21
督,du1,11,5.38,3.87,6.1,4.1
毒,du2,10,4,4.92,6.32,4.94
读,du2,2,3.18,5.88,6.9,6.32
犊,du2,19,5.82,5.21,5.47,4.71
堵,du3,4,4.28,5.55,6.31,6.27
赌,du3,15,4.47,5.19,5.97,5.54
睹,du3,10,5.21,5,6.35,6.42
妒,du4,8,5.19,4.24,5.26,4.79
肚,du4,3,2.97,6.79,6.55,6.47
渡,du4,6,4.66,5.46,6.06,5.75
镀,du4,7,5.9,5.44,5.59,4.39
端,duan1,3,4.39,4.89,4.94,5
短,duan3,1,3.31,4.97,6.84,5.61
断,duan4,2,3.8,4.64,6.34,5.7
缎,duan4,14,5.29,5.76,5.13,5.81
锻,duan4,8,4.85,3.75,5.94,4.53
队,dui4,3,3.6,5.11,6.27,5.21
兑,dui4,15,5.54,4.05,6.13,4.48
墩,dun1,6,5.82,5.25,5.56,4.79
蹲,dun1,4,4.62,6.13,6.19,6.26
炖,dun4,21,4.71,5.93,6.76,6.12
盾,dun4,15,4.72,6.42,5.97,6
钝,dun4,16,4.78,4.74,6.03,4.87
遁,dun4,19,6.08,3.68,4.41,4.18
多,duo1,1,2.5,5.13,6.77,5.32
夺,duo2,3,3.87,5.25,6.79,6.12
踱,duo2,6,5.36,5.33,5.94,5.55
躲,duo3,1,3.97,5.33,6.57,6.42
剁,duo4,17,5.25,5.86,5.39,6.36
堕,duo4,16,5.61,4.32,5.42,4.71
惰,duo4,16,5.36,3.68,4.73,5.06
跺,duo4,9,5.19,5.54,5.74,6.46
讹,e2,18,6.26,4.05,4.48,3.86
鹅,e2,1,3.18,6.85,6.84,6.7
恶,e4,5,4.23,4.41,6.19,4.94
饿,e4,2,3.29,5.11,5.29,5.82
恩,en1,4,4.21,3.3,6.39,4.47
摁,en4,17,5.41,5.46,4.97,5.23
耳,er3,2,2.43,6.92,6.77,6.63
饵,er3,11,5.17,5.94,5.1,5.75
发,fa1,2,3.38,4.48,6.41,5
乏,fa2,10,4.33,3.38,5.27,4.86
伐,fa2,11,4.78,5.08,5.55,5.57
罚,fa2,12,4.51,5.28,6.65,5.97
阀,fa2,12,5.44,5.05,5.45,4.93
法,fa3,2,3.24,3.83,6.39,5.21
帆,fan1,7,4.68,6.5,6.16,6.43
