word_portuguese,translate_word_english,aoa_mean,aoa_sd,syllables,length,familiar_mean,frequency,frequency_log,concrete_mean,imagine_mean
croquete,croquette,3,1.12,3,8,2.25,34,1.53,NA,NA
cuco,cuckoo,2.13,1.17,2,4,3.1,32,1.51,NA,NA
cutelo,cleaver,5.57,2.06,3,6,3.42,25,1.4,NA,NA
dália,dahlia,4.36,1.42,2,5,2.95,43,1.63,NA,NA
damasco,apricot,4.43,1.66,3,7,NA,109,2.04,NA,NA
dedal,thimble,3.71,1.31,2,5,2,10,1,NA,NA
delírio,delirium,5.62,1.19,3,7,3.33,183,2.26,2.08,2.38
demónio,demon,4.24,1.55,3,7,3.23,221,2.34,2.54,3.73
dente,tooth,1.7,0.72,2,5,NA,1124,3.05,NA,NA
dentista,dentist,3.26,0.94,3,8,1.75,56,1.75,NA,NA
desenhador,draughtsman,3.95,1.11,4,10,2.05,39,1.59,NA,NA
desenho,drawing,1.67,0.58,3,7,1.85,1093,3.04,NA,NA
deusa,goddess,4.17,1.28,2,5,2.87,137,2.14,2.12,3.27
devoção,devotion,5.36,1.39,3,7,3.23,179,2.25,2,2.35
dia,day,1.78,0.79,2,3,2.1,21896,4.34,4.54,4.08
diabo,devil,3.57,0.97,3,5,2.87,538,2.73,2.1,4.54
dinheiro,money,2.29,0.78,3,8,1.35,3696,3.57,NA,NA
dinossauro,dinosaur,3.29,1.38,4,10,NA,137,2.14,NA,NA
dióspiro,persimmon,4.52,1.78,4,8,3,NA,NA,NA,NA
disco,record,3.43,0.87,2,5,1.75,776,2.89,NA,NA
disposição,disposition,4.62,1.2,4,10,3.1,969,2.99,2.16,2.04
disputa,dispute,4.95,1.61,3,7,3,276,2.44,2.82,2.69
divã,divan,4.35,1.54,2,4,2.4,58,1.76,NA,NA
diversão,fun,4.27,1.17,3,8,2.9,126,2.1,2.78,3.79
doces,sweets,1.87,0.62,2,5,2.1,164,2.21,NA,NA
doninha,weasel,3.91,1.53,3,7,2.26,8,0.9,NA,NA
dourada,gilthead seabream,3.9,1.58,3,7,2.05,6,0.78,NA,NA
dragão,dragon,3,1.09,2,6,1.93,287,2.46,4.9,6
dromedário,dromedary,6,1.55,4,10,3.05,14,1.15,6.1,4.73
economista,economist,4.91,1.2,5,10,2.2,215,2.33,NA,NA
electricista,electrician,4.1,1.09,5,12,1.9,36,1.56,NA,NA
eléctrico,street car,3.24,0.83,4,9,2.3,480,2.68,NA,NA
elefante,elephant,2.24,0.77,4,8,1.24,223,2.35,6.8,6.6
elevador,lift,2.77,1.03,4,8,1.6,182,2.26,NA,NA
ema,lesser rhea,5.57,2.01,2,3,4.65,NA,NA,NA,NA
empório,emporium,7.14,0.96,3,7,4.03,8,0.9,3.88,1.88
empresário,businessman,4.96,1.04,4,10,2.8,907,2.96,NA,NA
encéfalo,encephalon,6.73,0.72,4,8,2.07,24,1.38,5.42,4.5
enchidos,sausages,4.35,1.63,3,8,2.7,40,1.6,NA,NA
enfermeiro,nurse,2.86,0.91,4,10,1.75,558,2.75,NA,NA
engenheiro,engineer,4.23,1.45,4,10,2.25,630,2.8,NA,NA
enguia,eel,3.9,1.26,3,6,2.08,87,1.94,NA,NA
envelope,envelope,3.48,1.03,4,8,1.68,105,2.02,6.58,6.42
enxada,hoe,3.65,1.16,3,6,1.95,164,2.21,NA,NA
ervilhas,peas,2.62,1.28,3,8,1.75,92,1.96,NA,NA
escada,stairs,2.17,0.68,3,6,1.32,850,2.93,NA,NA
escaravelho,beetle,4.41,1.5,5,11,2.5,29,1.46,6.6,6.06
escova,brush,2.05,0.77,3,6,1.67,89,1.95,6.56,6.19
escravo,slave,4.95,0.97,3,7,2.23,486,2.69,4.76,5.02
escritor,writer,3.67,0.86,3,8,2.05,988,2.99,NA,NA
escritório,office,3.48,1.25,4,10,2.1,662,2.82,5.82,5.29
escriturário,clerk,6,1,5,12,2.7,36,1.56,NA,NA
escrivaninha,writing desk,3.52,1.17,5,12,2.55,52,1.72,NA,NA
esferográfica,ballpoint pen,3.76,1.3,6,13,1.63,45,1.65,NA,NA
espada,sword,2.82,0.89,3,6,1.37,393,2.59,NA,NA
espadarte,swordfish,5.81,1.63,4,9,2.34,NA,NA,NA,NA
espanto,amazement,4.3,1.16,3,7,2.87,411,2.61,2.28,3.06
espargo,asparagus,5.38,1.5,3,7,3.5,32,1.51,6.5,5.23
esparguete,spaghetti,2.48,1.08,4,10,2.1,11,1.04,NA,NA
espectro,specter,6.29,0.96,3,8,3.23,242,2.38,3.58,3.37
espelho,mirror,2.05,0.67,3,7,1.55,762,2.88,NA,NA
esperança,hope,4.13,0.89,4,9,3.17,1562,3.19,1.7,2.6
espinafre,spinach,2.9,1.37,4,9,2.45,71,1.85,NA,NA
espingarda,rifle,4.39,1.66,4,10,1.53,196,2.29,NA,NA
esponja,sponge,2.4,0.99,3,7,1.84,64,1.81,NA,NA
esquilo,squirrel,3.09,0.86,3,7,1.37,11,1.04,6.76,6.6
estante,bookcase,3.57,1.12,3,8,2.6,174,2.24,6.58,6.04
estilo,style,4.68,1.18,3,6,3.33,1519,3.18,2.46,2.6
estorninho,starling,6.68,1.36,4,10,4.26,7,0.85,NA,NA
estudante,student,3.61,0.92,4,9,1.5,1629,3.21,NA,NA
esturjão,sturgeon,7.14,0.62,3,8,3.79,11,1.04,NA,NA
faca,knife,1.96,0.63,2,4,1.12,432,2.64,6.82,6.58
fagote,bassoon,6.74,1.65,3,6,4.63,17,1.23,NA,NA
faisão,pheasant,4.64,1.4,2,6,3.45,19,1.28,NA,NA
falcão,falcon,4.36,1.35,2,6,3.2,53,1.72,NA,NA
família,family,2,0.63,3,7,NA,5442,3.74,NA,NA
faneca,pout,6.1,1.51,3,6,3.63,17,1.23,NA,NA
fantasma,ghost,2.55,0.93,3,8,2.37,350,2.54,2.8,4.69
farmacêutico,pharmacist,4.48,1.4,5,12,1.9,129,2.11,NA,NA
favas,broad beans,3.04,1.2,2,5,2.4,101,2,NA,NA
feijão,bean,2.7,1.15,2,6,2.35,242,2.38,NA,NA
felicidade,happiness,3.52,0.93,5,10,2.9,628,2.8,1.72,3.23
feriado,holiday,3.32,0.73,3,7,2.43,146,2.16,3.62,2.81
ferramenta,tool,3.38,1.2,4,10,2.2,439,2.64,NA,NA
festa,party,1.9,0.62,2,5,1.8,2204,3.34,NA,NA
figo,fig,2.81,0.93,2,4,2.05,80,1.9,NA,NA
flamingo,flamingo,4.38,1.42,3,8,3.1,10,1,NA,NA
flauta,flute,3.57,1.33,2,6,1.42,106,2.03,NA,NA
flecha,arrow,3.52,0.81,2,6,2.05,127,2.1,NA,NA
flores,flowers,1.91,0.67,2,6,1.85,1544,3.19,NA,NA
