word_chinese_simplified,concrete_mean,concrete_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,typicality_mean,typicality_sd,valence_mean,valence_sd
打败,2.8889,1.6251,4.3571,2.1639,6.8571,0.5909,3.5172,1.8443,-0.4333,1.3566
打扮,3.2222,1.8046,2.2143,1.5482,6.75,0.8444,2.3103,1.6497,1,0.9826
打架,1.8571,1.1127,4.2857,1.8828,6.6897,0.9298,3.4138,2.0445,-1.2667,1.1725
打扰,3.4643,1.7317,4,1.8856,6.8621,0.4411,3.4483,1.8242,-0.9333,1.0483
大方,4.2593,1.5834,3.0357,1.7739,6.6071,1.0659,3.8276,1.8911,1.9667,0.7649
呆板,3.9643,1.4778,3.1429,1.5567,6.2759,1.4613,3.7241,1.7908,-1.0333,1.0334
呆滞,4.1852,1.6879,3.2143,1.7503,6.3929,1.2573,4.1724,1.8911,-1.4,0.8137
歹毒,4.3333,1.7097,5.2857,1.7817,6,1.8053,5.6897,1.2565,-2.5333,0.9732
担任,3.9259,1.9201,2.3214,1.6342,6.7143,0.46,2.1034,1.6112,0.5,0.7311
单独,3,1.9612,1.8571,1.2387,6.5,1.2019,2.069,1.1317,-0.3333,0.7112
导弹,1.4643,1.0709,2.6786,2.0737,6.3448,1.6317,1.7931,1.6557,-0.2667,1.3113
倒闭,2.7407,1.5589,4.0357,1.8355,6.3571,1.3935,3.2414,1.9758,-1.6333,0.9994
倒退,3.75,1.8384,3.2143,1.8531,6.7241,0.649,2.6207,1.5449,-1.3667,1.0662
盗版,2.8571,1.8602,3.5,1.9149,6.4828,1.2989,2.3448,1.6535,-1.2,1.1567
盗窃,2.1481,1.1995,4.0357,2.0635,6.5714,1.1996,3.3103,1.8728,-1.6,1.4044
道德,4.6786,1.7438,2.1786,1.6342,6.7586,0.511,2.1724,1.4655,1.0333,1.1592
得意,4.0741,1.859,4.8214,1.7858,6.5,1.3744,5.8276,1.416,1.2667,1.5071
地狱,3.3333,2.2532,3.8214,2.3579,6.25,1.4305,4.0345,1.7214,-2.4,1.0034
登记,2.7857,1.729,1.6429,0.9894,6.6897,0.7608,1.5862,1.402,0.1667,0.7915
登录,2.2222,1.5021,1.3214,0.548,6.4286,1.1996,1.1034,0.4093,0.0333,0.4901
低估,4.0357,1.7947,2.8571,1.4584,6.6207,0.9788,2.8966,1.5889,-0.8333,0.9499
低劣,3.7778,1.7172,3.9643,1.8556,5.9286,1.6981,4.5862,1.7427,-1.8667,0.9371
敌人,1.7407,1.0595,3.8214,2.0737,6.8214,0.9449,3.1724,1.947,-1.5,1.1371
抵抗,3.3704,1.5479,4,2.143,6.4286,1.2889,3.7931,2.0068,-0.6667,1.1842
抵御,3.1852,1.4421,3.3214,1.765,6.4643,1.138,2.4483,1.2702,0.2,1.0635
典礼,2.2143,1.5953,1.7857,1.228,6.7241,0.751,1.6897,1.1053,0.6667,0.8841
典型,4.7143,1.3294,1.8571,1.0789,6.7241,0.7019,1.6552,1.1425,0,0.8305
典雅,4.6667,1.6408,2.3929,1.5715,5.9286,1.5853,3.3793,1.6128,2.0667,0.8277
调节,3.963,1.6752,2.1429,1.2971,6.7143,0.9372,1.7931,1.2643,0.4667,0.6814
调侃,3.6071,1.9501,3.8214,1.6567,6.2069,1.4486,4.1379,1.5521,0.0333,1.2172
调整,3.8889,1.6718,1.6786,1.1239,6.7857,0.7868,1.4483,1.1828,0.4,0.8137
叮嘱,3.1852,1.8818,2.5357,1.5026,6.25,1.6245,2.7586,1.7659,0.5,0.7768
丢失,3.5714,1.894,3.75,2.048,6.8276,0.5391,2.8621,1.5974,-1.1667,0.9129
动听,4.1786,1.8669,3.2857,1.843,6.5862,1.1186,3.5172,1.7448,1.3667,1.0334
都市,2.1852,1.5698,2.0714,1.4889,6.5714,1.2301,1.4828,0.9495,0.5667,0.9353
逗乐,3.4444,1.5771,4.3929,1.8726,6.2143,1.5241,4.8966,1.8963,1.2667,1.0483
督促,3.6667,1.4936,2.8929,1.7286,6.5357,1.138,2.6552,1.7582,0.5333,1.008
独特,4.5,1.5986,2.6429,1.592,6.7931,0.5593,2.2759,1.6234,0.8,0.8052
读书,1.8148,1.3878,2.3571,2.004,7,0,1.4828,1.1219,1.2333,1.1043
堵塞,2.8148,1.3878,3.1429,2.0132,6.1786,1.5167,2.3448,1.3168,-1.2,0.7144
杜绝,4.6296,1.5479,3,1.8053,6.4286,0.9595,3.0345,1.8221,-0.7333,1.1725
度假,2.6786,1.492,2.7857,1.833,6.8966,0.3099,2.2069,1.612,0.9667,1.2172
端详,3.8148,1.6879,1.8929,1.1655,6.1786,1.2781,2.1034,1.6332,0.5333,0.9732
短发,1.3333,0.8771,1.6786,1.0203,6.75,0.967,1.2759,0.649,0.1667,0.4611
锻炼,2.1481,1.3785,2.5357,1.8556,6.8929,0.4163,1.931,1.646,1.5,1.1064
对策,3.3571,1.9286,2,1.4142,6.4828,0.9495,1.6897,1.1053,0.6,0.7701
对手,1.963,1.4,2.2143,1.5719,6.7143,0.5998,2.3448,1.5874,-0.3,0.7022
多情,5.0741,1.7525,4.3571,1.7473,6.0357,1.6212,4.3103,1.7949,-0.4333,1.0063
多疑,4.5714,1.597,4.2143,2.0612,6.5862,1.0862,4.8621,1.5289,-1.2,0.9965
恶毒,4.6296,1.4715,5.6429,1.6151,6.2143,1.3973,5.069,1.8309,-2.6,0.5632
恶化,3.8519,1.875,4.8571,1.8199,6.4286,1.3992,4.4828,1.8052,-2.1,0.712
恶劣,4.2593,1.6312,5.0714,1.9613,6.5357,0.7445,5.2414,1.3798,-2.1667,1.1769
恶意,4.1111,1.7831,4.75,1.7347,6.5,1.0715,5.2069,1.5671,-2,0.871
遏制,4.3704,1.3344,4.3571,1.8097,5.8214,1.5167,2.8621,1.7264,-0.9667,0.8087
儿童,1.5185,1.1222,2.1071,1.6179,6.9286,0.378,1.5172,0.9111,0.8,1.1861
发抖,2.5926,1.8242,4,2.0184,6.6071,0.8751,3.3103,1.9476,-0.8333,0.7915
乏味,4.2857,1.5601,3.6429,1.7683,6.3103,1.1983,4.4138,1.8228,-1.2333,0.8976
罚款,2.2963,1.5144,3.6786,1.9636,6.5357,1.0357,2.6207,1.6779,-1.7,0.8367
法官,1.6071,1.1655,1.5,1.1706,6.6552,0.8975,1.1724,0.6017,0.4667,0.8996
法庭,1.5556,1.2195,2.0714,1.7198,6.1429,1.5327,1.3793,0.7752,0,1.2034
烦闷,4.1852,1.9022,5.2143,1.8127,6.3929,1.1969,6.2069,1.2923,-1.9,0.803
烦恼,3.3704,1.6207,4.75,1.9555,6.6786,1.1564,5.6552,1.5647,-1.6333,0.7184
反动,4.1429,1.5327,3.6429,1.8301,5.9655,1.7005,3.4483,1.9381,-1.5,1.3582
反对,3.8214,1.7858,4.2857,1.9599,6.8276,0.5391,4.1379,2.0481,-1.3333,0.9223
反攻,3.2963,1.2654,3.6071,1.9877,5.6429,1.6825,2.8621,1.6845,-0.1,1.5614
反省,3.9286,1.8243,3.3214,1.5647,6.7241,0.7019,3.2759,1.6013,-0.0667,1.4126
贩毒,2.4074,1.3085,4.8214,2.212,5.8571,1.9382,3.1724,1.853,-2.6333,0.7649
方便,4.4815,1.3692,2.25,1.4814,6.8929,0.315,2.6207,1.6128,1.2333,0.8584
芳香,3.0741,2.0555,3.1071,1.7071,6.6071,0.8751,3.2759,1.7299,1.8333,0.7915
防范,4.0741,1.7525,2.2857,1.6069,6.3214,1.3892,2.1034,1.2634,0.4667,1.2243
妨碍,4.1852,1.3878,4.1786,1.5167,6.4286,1.1996,3.931,1.7099,-1.3333,0.7581
房屋,1.5926,1.3376,1.8214,1.492,6.9643,0.189,1.3103,1.1681,0.3,0.596
放弃,3.8889,1.8046,3.9643,2.1514,6.6429,1.1616,3.9655,1.8989,-1.7,0.7497
飞翔,2.5,1.7321,2.2857,1.7817,6.7586,0.6356,1.3448,0.9364,0.6,1.2484
飞行,2.4074,1.4481,2.0714,1.5379,6.9286,0.2623,1.1724,0.5391,0.3333,0.9223
废话,2.6429,1.7043,2.6071,1.7071,6.6552,1.1734,2.7931,1.7399,-0.8,0.9613
废弃,3.6786,1.7858,3.7143,2.0341,6.5172,1.3528,3,1.7928,-1.4333,0.9353
分配,3.6429,1.7892,1.8571,1.4067,6.7586,0.6895,1.4138,1.2682,0.3333,0.9589
芬芳,3.6296,1.8636,2.8929,1.6179,6.3571,1.2536,3.3793,1.9533,1.6333,0.8899
愤然,4.3214,1.7225,5.3929,1.7286,5.9655,1.3491,5.931,1.7511,-1.8333,0.9855
丰富,4.4074,1.4212,3.1071,1.5715,6.8214,0.39,3.4483,1.7645,1.9333,0.7397
风貌,4.037,1.8289,2.3214,1.5167,6.4286,1.3452,1.8621,1.3555,0.8333,0.9129
风趣,4.1429,1.9572,4.25,1.7132,6.5517,1.2702,3.7586,1.8058,1.5667,1.3309
风俗,3.2963,1.7935,1.9286,1.1841,6.7857,0.5681,1.4483,0.9097,0.2667,0.7397
讽刺,4.2222,1.7172,5.0714,1.7198,6.6786,0.863,5.3793,1.5905,-2.1,0.6074
否决,3.3704,1.5479,4.1786,2.0915,6.6786,0.9049,3.3793,2.178,-1.0333,0.9643
否认,2.8889,1.7172,3.5,1.9532,6.7143,0.8968,3.3448,2.126,-1,0.871
敷衍,4.1111,1.5771,3.7143,1.6966,6.3214,1.467,4.4483,1.9196,-1.5333,0.7303
芙蓉,1.8519,1.5368,2.0714,1.4639,5.75,1.6694,2.4138,1.8228,1.0333,0.9994
符合,4.1481,1.6572,1.5,0.923,6.4643,1.2905,2.1034,1.5433,0.7667,1.1351
抚摸,2.2857,1.3569,2.2857,1.5601,6.7241,0.649,2.2759,1.2789,0.6,0.8944
腐朽,4.8519,1.6803,3.5,1.5986,6.2857,1.3012,3.4828,2.1814,-1.6333,0.8503
复仇,3.5926,1.8451,5.0714,1.6981,6.5,1.2019,4.4828,2.0287,-1.9333,1.0483
复活,4.4074,1.9466,4.0357,2.0273,6.5357,1.3467,2.7241,1.7707,1.0333,1.2994
复苏,4.2143,1.9121,3.7857,1.833,6.4828,1.2711,2.4138,1.402,1.3333,1.3218
富贵,4.3333,1.9415,3.6786,1.7858,6.7143,0.7629,3.8276,2.1056,2.1,0.9595
富裕,3.963,1.5807,3.5,1.972,6.8214,0.4756,3.2414,1.8058,2.1,0.8449
富足,4.25,1.6471,3.8214,1.7225,6.6897,0.7608,3.4828,2.098,1.8,1.2429
改善,4.3214,1.5167,2.8214,1.6789,6.7931,0.675,2.6897,1.5835,1.4333,0.9353
甘甜,3.6667,1.6871,3.3214,2.001,6.7857,0.7868,3.6897,1.8918,1.9333,0.8683
感动,4.4074,1.9466,4.2857,2.088,6.75,1.0046,5.1034,2.0414,1.7333,0.9803
感激,4.1111,1.7614,4.7143,2.1232,6.8571,0.4484,5.5862,1.8031,2.0667,0.8277
感情,5.7037,1.4888,2.3929,1.6179,6.75,0.5853,2.7586,1.845,0.7,0.8769
感悟,5.0741,1.4657,2.5357,1.4268,6.8571,0.5909,2.4483,1.8242,1,1.1447
干枯,3.3571,1.8701,3.0714,1.6085,6.6207,1.0493,2.5862,1.452,-1.1,0.9595
干涉,3.8571,1.8199,3.1071,1.8326,6.4138,1.1186,2.6552,1.6317,-0.9333,1.0807
