cues,con,type,n_previous,needs_norming
dipper,4.21,Old,27,Yes
dipstick,3.81,Old,30,No
dirt,4.86,Old,37,No
dish,4.9,Old,28,Yes
dishwasher,4.86,Old,29,Yes
dishwater,4.61,Old,25,Yes
dispenser,3.84,Old,28,Yes
dividers,4.29,Old,25,Yes
divorcee,3.8,Old,33,No
dock,4.64,Old,37,No
doctor,4.69,Old,30,No
document,4.41,Old,29,Yes
dog,4.85,Old,31,No
dogcatcher,4.35,Old,36,No
doghouse,4.79,Old,32,No
doll,5,Old,33,No
dollar,4.93,Old,36,No
dollhouse,4.86,Old,27,Yes
dolphin,4.96,Old,27,Yes
