cues,AFSS,BOI,Concrete,n_previous,needs_norming
corset,35,5.44,4.48,30,No
corvette,33,5.875,4.76,38,No
cosmetics,25,5.75,4.72,29,Yes
costume,38,6.28,4.57,35,No
costumer,41,4.434782609,4.04,27,Yes
cottage,30,4.52173913,4.85,27,Yes
cotton,37,5.28,4.97,31,No
couch,31,6.260869565,4.71,29,Yes
council,35,4.321428571,2.73,27,Yes
councilman,37,4.869565217,4.26,27,Yes
councilwoman,36,4.583333333,4.59,30,No
counselor,21,4.375,4.24,26,Yes
countrywoman,46,4.44,4.25,28,Yes
coupon,26,4.821428571,4.79,27,Yes
courtyard,37,4.392857143,4.57,27,Yes
cousin,22,5.375,3.7,30,No
coverall,32,4.739130435,4.36,33,No
cow,35,5.434782609,4.96,38,No
cowhide,33,4.6,4.76,28,Yes
cowskin,26,4.652173913,4.81,31,No
crab,25,4.889189189,4.9,27,Yes
crabgrass,39,4.956521739,4.52,25,Yes
cracker,36,5.24,4.96,64,No
cradle,33,5.652173913,4.93,39,No
craftsman,33,4.833333333,4,33,No
cranberry,26,5.458333333,4.96,25,Yes
crane,28,4.695652174,4.68,26,Yes
crap,25,4.666666667,3.67,32,No
crate,37,5.304347826,4.93,28,Yes
crawfish,33,4.666666667,5,33,No
crayfish,26,5.043478261,4.93,26,Yes
crayon,36,6.36,4.87,34,No
cream,39,5.153846154,4.83,38,No
creamer,22,5.24,4.66,37,No
creature,42,4.833333333,4.07,28,Yes
creek,29,4.52,4.87,28,Yes
crepe,34,5.416666667,4.5,34,No
crewman,37,4.291666667,4.39,26,Yes
crib,24,5.56,4.86,26,Yes
cricket,27,4.653846154,4.77,27,Yes
crisps,34,5.130434783,4.04,37,No
critter,50,4.863636364,4.19,36,No
crocodile,31,4.291666667,4.83,26,Yes
croissant,26,6,4.96,30,No
crop,28,4.833333333,4.24,27,Yes
croquet,23,4.84,4.59,33,No
croquette,25,4.681818182,4.24,26,Yes
cross,26,5,4.44,35,No
crossbar,40,5.043478261,4.57,35,No
crossbow,32,5.541666667,4.77,26,Yes
crosswalk,23,4.714285714,4.62,32,No
crossword,37,4.555555556,4.48,34,No
crotch,20,5.6,4.77,31,No
crouton,28,5.724137931,4.9,28,Yes
crowbar,37,6.25,4.87,34,No
crown,33,6.173913043,4.81,30,No
crucifix,37,5.68,4.45,32,No
cruiser,31,4.304347826,3.78,29,Yes
crumb,28,4.45,4.8,33,No
crumpet,30,5.136363636,4.81,32,No
crust,37,5.125,4.59,37,No
crutch,33,5.8,4.5,30,No
crypt,36,4.541666667,4.75,31,No
crystal,35,4.37037037,4.58,35,No
cube,41,4.75,4.62,31,No
cubical,31,4.36,4.21,31,No
cucumber,26,6.04,4.83,25,Yes
